Customer_id,Name,Age,Spending_score,Purchased_item,Email_id,label
50,GYIJBCRI,34,17,Cards,vKODBALo8N@hotmail.com,6
78,TZYGVO,34,55,Paintings,QHYVn52lNH@gmail.com,6
93,BOWVCB,34,1,Cards,OFL5IDqCOp@yahoo.com,6
114,TPCLNIYZXA,34,28,Doodles,0qBzJ50zSQ@hotmail.com,6
119,SDSREN,34,28,Phonecases,abcd@gmail.com,6
135,LVBTCZDKHK,34,13,Doodles,j6yXdgJbT5@gmail.com,6
172,XZVWKECTGR,34,78,Phonecases,SLgbpYv1S7@yahoo.com,6
174,VFEUCY,34,25,Doodles,KAdMB9hVVU@yahoo.com,6
177,DEXWPLSE,34,58,Phonecases,nAy6WmtFVR@outlook.com,6
190,LKNJSTFN,34,72,Cards,AfNfYBpZIQ@yahoo.com,6
