Customer_id,Name,Age,Spending_score,Purchased_item,Email_id,label
1,SLZDDPDIQ,35,96,Phonecases,8oJzQaXZYu@gmail.com,0
2,WBHNOAM,40,31,Phonecases,pdgt1ELzQ4@hotmail.com,0
5,QJYPDT,23,86,Phonecases,TspNYI5IgV@outlook.com,0
9,FEQWMY,48,74,Phonecases,CxocFbIsdc@gmail.com,0
11,FVZGBYI,71,30,Phonecases,ck0MKVaMg4@hotmail.com,0
12,WLCXFFBBTX,37,89,Phonecases,8uwlEEKNYv@outlook.com,0
14,KOJQQIDRE,42,84,Phonecases,pkhA0V6v10@gmail.com,0
16,WIQBUDQGA,25,3,Illustrations,p5uLLN9V2T@yahoo.com,0
17,ZOVFOUX,73,44,Illustrations,1bfWTcmK8C@yahoo.com,0
18,DNCKNXUEA,39,28,Illustrations,0l1HBqCWs2@yahoo.com,0
19,ENJXLAJDZ,18,44,Phonecases,O2am9IdST3@hotmail.com,0
26,RBMKCNAD,48,91,Phonecases,dcaWg8k706@yahoo.com,0
33,LEBWMOI,78,76,Illustrations,kpAEdVpImD@yahoo.com,0
34,NXLWPYUVA,39,39,Illustrations,EdQw9c5SZt@yahoo.com,0
38,ATKPTKXYV,80,100,Phonecases,nCDHd8Hlzk@outlook.com,0
45,TNYHUERD,33,30,Phonecases,97WWcR8HSy@outlook.com,0
53,FXCVNGZCGE,17,3,Illustrations,h76WegcBZK@outlook.com,0
57,SLVPA,60,83,Phonecases,8tTC7flrrb@yahoo.com,0
59,PVFHCIMA,74,52,Illustrations,YZr2zzok8p@outlook.com,0
65,CXZWEVQXG,58,15,Illustrations,p1XHWHKN7w@yahoo.com,0
72,PVEJXKV,60,85,Illustrations,Ki38BNhDKM@yahoo.com,0
73,DOKLS,63,32,Phonecases,hZUbSTyfjo@hotmail.com,0
75,HCJJVJEDDL,77,67,Phonecases,MshJ6VQ1qD@hotmail.com,0
85,VQVOFJBQQ,28,42,Illustrations,h73B8aCQAt@outlook.com,0
90,JBGCAVR,46,87,Phonecases,pxTcLhcR7M@yahoo.com,0
91,LVXWXLB,20,97,Phonecases,sbePjTX51X@gmail.com,0
92,ZGKHFFP,72,63,Phonecases,knJvCLjb17@gmail.com,0
94,PTBNZW,27,67,Illustrations,4V3FZBj9zO@yahoo.com,0
95,VSNIOWJLA,68,46,Phonecases,X3OkbS8VW0@hotmail.com,0
99,XZFUUQUCNY,77,60,Phonecases,tcDTwEevSh@hotmail.com,0
103,HRUYKSOQC,67,91,Phonecases,Hlv6jfgL4w@yahoo.com,0
109,WKHBNWND,62,32,Illustrations,ukRaIetyhI@outlook.com,0
110,ALNEVWE,67,4,Phonecases,KjuP43xlZC@yahoo.com,0
111,AYJBCACH,17,71,Illustrations,ge6dJPpStt@yahoo.com,0
112,GLPSYLK,31,85,Phonecases,auculAhJJy@yahoo.com,0
115,YPEEXT,27,13,Illustrations,RDGCbIB6gE@outlook.com,0
116,AVDFPCWZ,79,74,Phonecases,RpsaJbG65w@outlook.com,0
118,BWGBG,67,51,Phonecases,DyKCjHfwjM@yahoo.com,0
119,SDSREN,34,28,Phonecases,abcd@gmail.com,0
125,VJBDSOG,61,87,Illustrations,9LITnbz6mc@yahoo.com,0
127,RZRYLFE,26,2,Phonecases,wNTpFHHk5N@outlook.com,0
130,EQZLMB,16,24,Illustrations,VITKyWa75e@outlook.com,0
133,ZGHNDWXFED,60,36,Phonecases,Ya7ymDQWRy@hotmail.com,0
136,PILSP,58,41,Illustrations,8wVMNWcPQw@hotmail.com,0
137,HXEMLAR,25,18,Illustrations,r4K0zd6D6y@hotmail.com,0
142,RCVWM,43,6,Phonecases,DH2CgoO3yo@yahoo.com,0
144,Keerthana,22,73,Phonecases,keerthanavalmiki60@gmail.com,0
146,WDVNY,25,31,Illustrations,CnefwTttJH@hotmail.com,0
150,ZHPBA,79,88,Phonecases,awIUnXKFiK@yahoo.com,0
154,DWLOIMFO,39,69,Illustrations,ACkYL69cC5@gmail.com,0
155,ZGXKUDZGH,17,96,Illustrations,VhO28xvwmn@hotmail.com,0
156,YMXWA,70,51,Illustrations,TUlwD4quy4@gmail.com,0
159,SRZXLDKHU,73,26,Phonecases,EaX6q9Rya1@hotmail.com,0
165,SKDMUIDY,52,39,Illustrations,nFszx1AvM3@hotmail.com,0
167,PITMFLKGFH,59,33,Illustrations,t2XH0a5gVd@gmail.com,0
172,XZVWKECTGR,34,78,Phonecases,SLgbpYv1S7@yahoo.com,0
173,ICCKIIOMX,51,3,Phonecases,mHeTiKzGHc@hotmail.com,0
176,GLIDO,20,23,Illustrations,D8HSCPJZze@hotmail.com,0
177,DEXWPLSE,34,58,Phonecases,nAy6WmtFVR@outlook.com,0
191,BEPTBF,71,42,Illustrations,6Se0GFlSsV@hotmail.com,0
194,VUKRXD,65,23,Phonecases,3CqDMEiG3J@outlook.com,0
199,MLKZC,39,8,Phonecases,DANDAkZq2w@outlook.com,0
